Season,Week,Celebrity,Judge_Score,Estimated_Fan_Pct,Estimated_Fan_Rank,Certainty_Std,Model_Alpha,Model_Beta,Fit_Status
2,6,Lisa Rinna,3.0,0.20373252741713302,3,0.05098303209989855,0.5,0.5,Converged
2,6,Stacy Keibler,1.0,0.10178565760154802,4,0.02919040688411054,0.5,0.5,Converged
2,6,Jerry Rice,4.0,0.3887361499355354,1,0.06857369615826633,0.5,0.5,Converged
2,6,Drew Lachey,1.0,0.07763556219320022,5,0.025997488354240532,0.5,0.5,Converged
2,7,Lisa Rinna,3.0,0.254298047966946,2,0.062341353315064,0.5,0.5,Converged
2,7,Stacy Keibler,1.0,0.13207540306831542,3,0.03909546211838326,0.5,0.5,Converged
2,7,Jerry Rice,4.0,0.5080190117107091,1,0.08093959315945774,0.5,0.5,Converged
2,7,Drew Lachey,1.0,0.10560753725402951,4,0.032562970390958394,0.5,0.5,Converged
3,1,Harry Hamlin,0.080188679245283,0.07552960784216001,9,0.02092222184182079,0.5,0.0,Converged
3,1,Vivica A. Fox,0.1037735849056603,0.09409736873341773,5,0.02752068071042361,0.5,0.0,Converged
3,1,Monique Coleman,0.0896226415094339,0.1089970162109001,2,0.031055752626873902,0.5,0.0,Converged
3,1,Joey Lawrence,0.0990566037735849,0.09789643041583265,3,0.03001358760929445,0.5,0.0,Converged
3,1,Mario Lopez,0.1226415094339622,0.09151793362446575,7,0.026568258455747056,0.5,0.0,Converged
3,1,Emmitt Smith,0.1132075471698113,0.07773000064587024,8,0.02319720215934307,0.5,0.0,Converged
3,1,Shanna Moakler,0.0849056603773584,0.13393977124161324,1,0.035634230148327777,0.5,0.0,Converged
3,1,Willa Ford,0.1037735849056603,0.0953618753264507,4,0.029098169161997832,0.5,0.0,Converged
3,1,Sara Evans,0.070754716981132,0.09267031424549463,6,0.021801780852102725,0.5,0.0,Converged
3,1,Jerry Springer,0.0754716981132075,0.06518871537039335,11,0.015027168365601603,0.5,0.0,Converged
3,1,Tucker Carlson,0.0566037735849056,0.06707096634340168,10,0.011894340085798608,0.5,0.0,Converged
3,2,Harry Hamlin,0.0913043478260869,0.0888498216658088,9,0.02154205757847311,0.5,0.0,Converged
3,2,Vivica A. Fox,0.1043478260869565,0.0963082251421778,6,0.02070250845050807,0.5,0.0,Converged
3,2,Monique Coleman,0.1130434782608695,0.12025119874774227,1,0.03502481062318396,0.5,0.0,Converged
3,2,Joey Lawrence,0.1260869565217391,0.11150930761098952,4,0.029338032649420778,0.5,0.0,Converged
3,2,Mario Lopez,0.0913043478260869,0.10141736891785628,5,0.022182714809276523,0.5,0.0,Converged
3,2,Emmitt Smith,0.1043478260869565,0.09309715467253318,7,0.026303742878813815,0.5,0.0,Converged
3,2,Shanna Moakler,0.0956521739130434,0.06484622164789748,10,0.008875146884768415,0.5,0.0,Converged
3,2,Willa Ford,0.1,0.11786371738729996,2,0.027426788285011144,0.5,0.0,Converged
3,2,Sara Evans,0.0913043478260869,0.11382684262772381,3,0.025120747903988855,0.5,0.0,Converged
3,2,Jerry Springer,0.0826086956521739,0.09203014157997093,8,0.011789658120217384,0.5,0.0,Converged
3,3,Harry Hamlin,0.1062801932367149,0.05826559836303511,9,0.011096556277924665,0.5,0.0,Converged
3,3,Vivica A. Fox,0.1304347826086956,0.11747089170183625,6,0.03203582596460705,0.5,0.0,Converged
3,3,Monique Coleman,0.1304347826086956,0.1348085582228224,1,0.033516342535757124,0.5,0.0,Converged
3,3,Joey Lawrence,0.1062801932367149,0.1334869488990967,2,0.03681909135023715,0.5,0.0,Converged
3,3,Mario Lopez,0.1062801932367149,0.11968197549517486,5,0.032474972840621764,0.5,0.0,Converged
3,3,Emmitt Smith,0.0917874396135265,0.11108830190035483,7,0.027196915895049738,0.5,0.0,Converged
3,3,Willa Ford,0.1062801932367149,0.12112735883599347,3,0.032434009067700505,0.5,0.0,Converged
3,3,Sara Evans,0.1207729468599033,0.12037426490294115,4,0.031261015109715934,0.5,0.0,Converged
3,3,Jerry Springer,0.1014492753623188,0.08369610167874518,8,0.019428208943583776,0.5,0.0,Converged
3,4,Vivica A. Fox,0.1212121212121212,0.07571315320998767,8,0.012762795064071407,0.5,0.0,Converged
3,4,Monique Coleman,0.1212121212121212,0.1519239970674536,1,0.04045547484443199,0.5,0.0,Converged
3,4,Joey Lawrence,0.1363636363636363,0.1475373586007325,2,0.03537414131239199,0.5,0.0,Converged
3,4,Mario Lopez,0.1464646464646464,0.13198799528139132,4,0.03551149099062025,0.5,0.0,Converged
3,4,Emmitt Smith,0.1212121212121212,0.11523020334824809,6,0.027047674632004907,0.5,0.0,Converged
3,4,Willa Ford,0.1414141414141414,0.13002754007066078,5,0.03344897168821151,0.5,0.0,Converged
3,4,Sara Evans,0.101010101010101,0.14172615295382254,3,0.03190968968670931,0.5,0.0,Converged
3,4,Jerry Springer,0.1111111111111111,0.10585359946770341,7,0.01931080280275793,0.5,0.0,Converged
3,5,Monique Coleman,0.149171270718232,0.17386336074305656,1,0.04148930883089213,0.5,0.0,Converged
3,5,Joey Lawrence,0.1381215469613259,0.17031250785114718,2,0.04279225341360815,0.5,0.0,Converged
3,5,Mario Lopez,0.149171270718232,0.15048208736631286,4,0.040730468881029075,0.5,0.0,Converged
3,5,Emmitt Smith,0.149171270718232,0.1344237545417666,5,0.034696457065710874,0.5,0.0,Converged
3,5,Willa Ford,0.149171270718232,0.08381505500946815,7,0.013501605462659301,0.5,0.0,Converged
3,5,Sara Evans,0.1325966850828729,0.16406694321787227,3,0.037820860997581404,0.5,0.0,Converged
3,5,Jerry Springer,0.1325966850828729,0.1230362912703763,6,0.023457002600964783,0.5,0.0,Converged
3,7,Monique Coleman,0.2,0.24216879419102447,2,0.06308447781559312,0.5,0.0,Converged
3,7,Joey Lawrence,0.2111111111111111,0.24454259652868232,1,0.05849760804986344,0.5,0.0,Converged
3,7,Mario Lopez,0.2074074074074074,0.2169177161940218,3,0.0629028247184683,0.5,0.0,Converged
3,7,Emmitt Smith,0.2111111111111111,0.18010573588597087,4,0.04979278025986351,0.5,0.0,Converged
3,7,Jerry Springer,0.1703703703703703,0.11626515720030063,5,0.029737258811439706,0.5,0.0,Converged
3,8,Monique Coleman,0.2431192660550458,0.19321816980460924,4,0.026692880866787474,0.5,0.0,Converged
3,8,Joey Lawrence,0.2477064220183486,0.29199186866129134,1,0.0591988255088047,0.5,0.0,Converged
3,8,Mario Lopez,0.2614678899082568,0.263998430442207,2,0.05235361889475306,0.5,0.0,Converged
3,8,Emmitt Smith,0.2477064220183486,0.2507915310918921,3,0.04583343800065903,0.5,0.0,Converged
4,2,John Ratzenberger,0.0857142857142857,0.07589028412089066,10,0.01681908424711866,0.5,0.0,Converged
4,2,Ian Ziering,0.0897959183673469,0.0767606562392017,9,0.01830434190961106,0.5,0.0,Converged
4,2,Clyde Drexler,0.073469387755102,0.11205698423983373,2,0.028211882010797742,0.5,0.0,Converged
4,2,Laila Ali,0.110204081632653,0.08955140545173106,5,0.023257917919787447,0.5,0.0,Converged
4,2,Apolo Anton Ohno,0.1061224489795918,0.08380106046954061,7,0.027142833286507413,0.5,0.0,Converged
4,2,Shandi Finnessey,0.0816326530612244,0.14511155976286466,1,0.04006958108669749,0.5,0.0,Converged
4,2,Paulina Porizkova,0.0857142857142857,0.05404089228637462,11,0.008815743356253953,0.5,0.0,Converged
4,2,Heather Mills,0.0979591836734693,0.1044751755962548,3,0.027834103388545785,0.5,0.0,Converged
4,2,Billy Ray Cyrus,0.0857142857142857,0.0826534657827768,8,0.019392275775669942,0.5,0.0,Converged
4,2,Joey Fatone,0.0979591836734693,0.0900177173798099,4,0.024260541339332125,0.5,0.0,Converged
4,2,Leeza Gibbons,0.0857142857142857,0.08564079867072139,6,0.021228966034050258,0.5,0.0,Converged
4,3,John Ratzenberger,0.091743119266055,0.09374736947317236,6,0.019721260951225894,0.5,0.0,Converged
4,3,Ian Ziering,0.110091743119266,0.08006269385738092,9,0.015910347128317365,0.5,0.0,Converged
4,3,Clyde Drexler,0.073394495412844,0.14222348714959596,1,0.03372484018992947,0.5,0.0,Converged
4,3,Laila Ali,0.0963302752293578,0.11313270433639466,3,0.03252382956847244,0.5,0.0,Converged
4,3,Apolo Anton Ohno,0.1055045871559633,0.09348064544681323,7,0.02753697941765606,0.5,0.0,Converged
4,3,Shandi Finnessey,0.0963302752293578,0.06697214868599263,10,0.00937858010597875,0.5,0.0,Converged
4,3,Heather Mills,0.110091743119266,0.11849359118554754,2,0.037703115473654646,0.5,0.0,Converged
4,3,Billy Ray Cyrus,0.0963302752293578,0.09412616657455256,5,0.01958325649089328,0.5,0.0,Converged
4,3,Joey Fatone,0.110091743119266,0.10911691538313707,4,0.02596267492708385,0.5,0.0,Converged
4,3,Leeza Gibbons,0.110091743119266,0.08864427790741308,8,0.024216854453096896,0.5,0.0,Converged
4,4,John Ratzenberger,0.0842105263157894,0.10282432508891609,7,0.02211178051581989,0.5,0.0,Converged
4,4,Ian Ziering,0.1263157894736842,0.09434985371829338,8,0.02725276838101267,0.5,0.0,Converged
4,4,Clyde Drexler,0.0789473684210526,0.1468768545035541,1,0.036045370730003176,0.5,0.0,Converged
4,4,Laila Ali,0.1105263157894736,0.11651323013354727,4,0.03473584458539518,0.5,0.0,Converged
