Celebrity,Season,Week,Estimated_Fan_Pct,Certainty_Std,CI_Lower,CI_Upper,CI_Width
Shanna Moakler,3,1,0.1362008030229178,0.0373510792307614,0.06299268773062545,0.20940891831521014,0.1464162305845847
Willa Ford,3,1,0.0979760698403411,0.0275698765120043,0.043939111876812674,0.15201302780386952,0.10807391592705684
Sara Evans,3,1,0.0976256846442974,0.0271767960667392,0.044359164353488564,0.15089220493510624,0.10653304058161768
Jerry Springer,3,1,0.0646190203910211,0.0160753490294843,0.033111336293231874,0.09612670448881033,0.06301536819557846
Tucker Carlson,3,1,0.0670649177973093,0.0111730713039768,0.045165698041514775,0.08896413755310384,0.043798439511589064
Harry Hamlin,3,2,0.0977474575965752,0.0234335982788036,0.05181760497012014,0.14367731022303026,0.09185970525291012
Vivica A. Fox,3,2,0.0956112761027233,0.0259499485037856,0.044749377035303524,0.14647317517014308,0.10172379813483956
Monique Coleman,3,2,0.1313306062380091,0.0276572950729015,0.07712230789512217,0.18553890458089603,0.10841659668577386
Joey Lawrence,3,2,0.1098296626235917,0.0307223208711196,0.049613913716197285,0.17004541153098612,0.12043149781478885
Mario Lopez,3,2,0.1061407894190131,0.0158777933770768,0.07502031439994257,0.13726126443808362,0.06224095003814105
Emmitt Smith,3,2,0.0817836195192778,0.017107011692263,0.048253876602442326,0.11531336243611329,0.06705948583367097
Shanna Moakler,3,2,0.0598438040667233,0.0089291562980274,0.0423426577225896,0.07734495041085701,0.03500229268826741
Willa Ford,3,2,0.1087777472167557,0.028123774251241,0.05365514968432335,0.16390034474918808,0.11024519506486473
Sara Evans,3,2,0.1160799882664628,0.0311209399602745,0.055082945944324786,0.17707703058860083,0.12199408464427605
Jerry Springer,3,2,0.0928550489508676,0.0158781833490403,0.06173380958674861,0.1239762883149866,0.06224247872823799
Harry Hamlin,3,3,0.0585752715288874,0.0106151487011835,0.03776958007456774,0.07938096298320706,0.04161138290863932
Vivica A. Fox,3,3,0.1176061537576592,0.0348396829023801,0.049320375268994215,0.1858919322463242,0.13657155697732998
Monique Coleman,3,3,0.1392041916069886,0.0365943251045352,0.06747931440209962,0.2109290688118776,0.14344975440977797
Joey Lawrence,3,3,0.129706125164506,0.0353093125874063,0.06049987249318965,0.19891237783582233,0.13841250534263266
Mario Lopez,3,3,0.1200881115742368,0.0311748040474008,0.05898549564133123,0.18119072750714235,0.12220523186581111
Emmitt Smith,3,3,0.1108786342651524,0.0258562513353006,0.06020038164796323,0.16155688688234157,0.10135650523437834
Willa Ford,3,3,0.1238824430659566,0.0350716438462289,0.05514202112734795,0.19262286500456524,0.1374808438772173
Sara Evans,3,3,0.1180386288858587,0.0322900290058815,0.054750172034330954,0.18132708573738643,0.12657691370305546
Jerry Springer,3,3,0.0820204401507539,0.0165815966986297,0.04952051062143968,0.11452036968006811,0.06499985905862843
Vivica A. Fox,3,4,0.0744449095547127,0.0136608921406722,0.04766956095899519,0.1012202581504302,0.053550697191435015
Monique Coleman,3,4,0.1538473468494191,0.0387583170799129,0.0778810453727898,0.2298136483260484,0.1519326029532586
Joey Lawrence,3,4,0.1452012401902279,0.0402170685352986,0.06637578586104265,0.22402669451941315,0.1576509086583705
Mario Lopez,3,4,0.13007212520364,0.0343087181191343,0.06282703769013677,0.19731721271714325,0.1344901750270065
Emmitt Smith,3,4,0.1166818398611733,0.0319989247855164,0.05396394728156115,0.17939973244078544,0.1254357851592243
Willa Ford,3,4,0.1358476533743371,0.0415480995152112,0.05441337832452316,0.21728192842415106,0.16286855009962792
Sara Evans,3,4,0.1392111559334772,0.0319681893320571,0.07655350484264528,0.2018688070243091,0.1253153021816638
Jerry Springer,3,4,0.1046937290330124,0.0192393610917921,0.06698458129309988,0.1424028767729249,0.07541829547982502
Monique Coleman,3,5,0.1731862577113594,0.0415845686109194,0.09168050323395738,0.2546920121887614,0.16301150895480404
Joey Lawrence,3,5,0.1665660854033564,0.0436900032988709,0.08093367893756945,0.25219849186914334,0.1712648129315739
Mario Lopez,3,5,0.1535134361614817,0.0406590932239648,0.07382161344251069,0.23320525888045268,0.15938364543794198
Emmitt Smith,3,5,0.1366599909313568,0.0299056113280976,0.07804499272828551,0.1952749891344281,0.11722999640614258
Willa Ford,3,5,0.0856596652396769,0.013479582836597,0.059239682879946784,0.11207964759940701,0.05283996471946023
Sara Evans,3,5,0.1613750928128543,0.0353879692514756,0.09201467307996213,0.23073551254574648,0.13872083946578434
Jerry Springer,3,5,0.1230394717399142,0.0209190036286601,0.08203822462774041,0.16404071885208799,0.08200249422434758
Monique Coleman,3,7,0.2531477160837303,0.0615447011903627,0.13252010175061946,0.3737753304168412,0.24125522866622173
Joey Lawrence,3,7,0.2344259767474739,0.0619350376842694,0.11303330288630586,0.35581865060864193,0.24278534772233606
Mario Lopez,3,7,0.2172084759096458,0.0612556082917384,0.09714748365783853,0.33726946816145303,0.2401219845036145
Emmitt Smith,3,7,0.1786770586490046,0.0483595565447285,0.08389232782133674,0.27346178947667243,0.1895694616553357
Jerry Springer,3,7,0.1165407726101448,0.028666975091449,0.06035350143090476,0.17272804378938483,0.11237454235848007
Monique Coleman,3,8,0.1911680684571639,0.0266842483002069,0.13886694178875836,0.24346919512556942,0.10460225333681106
Joey Lawrence,3,8,0.2936590147193614,0.0552663706896993,0.18533692816755076,0.40198110127117204,0.21664417310362127
Mario Lopez,3,8,0.2630922412552091,0.052638971740087,0.15991985664463856,0.36626462586577957,0.206344769221141
Emmitt Smith,3,8,0.2520806755682653,0.0445698554273241,0.16472375893071006,0.33943759220582054,0.17471383327511048
John Ratzenberger,4,2,0.0773002220410504,0.018275770568901,0.04147971172600444,0.11312073235609636,0.07164102063009192
Ian Ziering,4,2,0.0768766681843673,0.0195946283416314,0.03847119663476975,0.11528213973396484,0.07681094309919509
Clyde Drexler,4,2,0.1132416477330303,0.0286526459481307,0.057082461674694135,0.16940083379136647,0.11231837211667234
Laila Ali,4,2,0.0899689682726069,0.026745630383053,0.037547532721823026,0.1423904038233908,0.10484287110156777
Apolo Anton Ohno,4,2,0.0799663320671109,0.0201849497825811,0.04040383049325194,0.11952883364096986,0.07912500314771792
Shandi Finnessey,4,2,0.1455962783892052,0.0378019964239463,0.07150436539827044,0.21968819138013995,0.14818382598186952
Paulina Porizkova,4,2,0.0560839543417242,0.0092609107411679,0.037932569289035115,0.07423533939441329,0.036302770105378177
Heather Mills,4,2,0.1016335490600077,0.0301552055527552,0.04252934617660751,0.1607377519434079,0.11820840576680039
Billy Ray Cyrus,4,2,0.0829452169950098,0.0197494544409566,0.04423628629073486,0.12165414769928473,0.07741786140854987
Joey Fatone,4,2,0.0898534315136338,0.0249865117165825,0.0408798685491321,0.1388269944781355,0.09794712592900341
Leeza Gibbons,4,2,0.086533731402253,0.0212845694204615,0.04481597533814846,0.12825148746635753,0.08343551212820907
John Ratzenberger,4,3,0.1007559882897481,0.0208759733576209,0.05983908050881114,0.14167289607068506,0.08183381556187391
Ian Ziering,4,3,0.0828683542762405,0.0223519894359824,0.03905845498171499,0.126678253570766,0.08761979858905102
Clyde Drexler,4,3,0.1343658970374578,0.0313749820183285,0.07287093228153393,0.19586086179338166,0.12298992951184773
Laila Ali,4,3,0.1082673237588908,0.0231282322712941,0.06293598850715436,0.15359865901062725,0.09066267050347289
Apolo Anton Ohno,4,3,0.0943033850900581,0.0185360597010108,0.05797270807607694,0.13063406210403927,0.07266135402796234
Shandi Finnessey,4,3,0.0704566626793646,0.009026757447134,0.052764218082981956,0.08814910727574723,0.03538488919276528
Heather Mills,4,3,0.1142421851898761,0.0332565431077294,0.049059360698726476,0.1794250096810257,0.13036564898229924
Billy Ray Cyrus,4,3,0.1023693975256321,0.0235375105485023,0.056235876850567586,0.1485029182006966,0.09226704135012903
Joey Fatone,4,3,0.106992993736824,0.022763694855484,0.06237615182007536,0.15160983565357264,0.08923368383349728
Leeza Gibbons,4,3,0.0853778124159074,0.0230313529696992,0.04023636059529697,0.13051926423651783,0.09028290364122085
John Ratzenberger,4,4,0.1003502242753764,0.0221880429523671,0.05686166008873689,0.14383878846201592,0.08697712837327903
Ian Ziering,4,4,0.0947383201737538,0.0259118233760272,0.043951146356740495,0.1455254939907671,0.10157434763402662
Clyde Drexler,4,4,0.1460538339720205,0.0390728935675221,0.06947096257967719,0.22263670536436383,0.15316574278468664
Laila Ali,4,4,0.1179047384820299,0.03384385043547,0.051570791628508694,0.1842386853355511,0.1326678937070424
Apolo Anton Ohno,4,4,0.1071773494719138,0.0314447996352571,0.04554554218680989,0.16880915675701771,0.12326361457020782
Heather Mills,4,4,0.1374569937508451,0.0379159437740892,0.06314174395363027,0.21177224354805996,0.1486304995944297
Billy Ray Cyrus,4,4,0.1020342749627862,0.0273944785386212,0.04834109702708866,0.15572745289848375,0.10738635587139508
Joey Fatone,4,4,0.1192694263058537,0.0316423185599749,0.05725048192830289,0.1812883706834045,0.1240378887551016
Leeza Gibbons,4,4,0.0750148386054201,0.0133365591389991,0.04887518269298187,0.10115449451785834,0.05227931182487647
John Ratzenberger,4,5,0.1106181241242588,0.0250574138590881,0.06150559296044612,0.15973065528807145,0.09822506232762533
Ian Ziering,4,5,0.1117486046166136,0.0313633607976681,0.050276417453184126,0.17322079178004307,0.12294437432685895
Clyde Drexler,4,5,0.1042297440373294,0.0162957306758061,0.07229011191274945,0.13616937616190936,0.0638792642491599
Laila Ali,4,5,0.1365047753598598,0.038680459654164,0.06069107443769836,0.21231847628202125,0.15162740184432288
Apolo Anton Ohno,4,5,0.1158689295441014,0.030078855794351,0.05691437218717344,0.17482348690102936,0.11790911471385593
Heather Mills,4,5,0.1576007972824502,0.04231123503171,0.0746707766202986,0.2405308179446018,0.1658600413243032
Billy Ray Cyrus,4,5,0.1248165901640242,0.0277036033642353,0.07051752757012301,0.1791156527579254,0.10859812518780239
Joey Fatone,4,5,0.1386124348713623,0.0370591412272955,0.06597651806586312,0.21124835167686146,0.14527183361099832
John Ratzenberger,4,6,0.1504742263362425,0.0270032472016589,0.09754786182099105,0.20340059085149392,0.10585272903050287
Ian Ziering,4,6,0.1361478072130845,0.0330068132361847,0.07145445327016249,0.20084116115600653,0.12938670788584405
Laila Ali,4,6,0.1565426283725532,0.0442127047009877,0.06988572715861731,0.2431995295864891,0.1733138024278718
Apolo Anton Ohno,4,6,0.1458313459753708,0.0402670429981867,0.06690794169892487,0.22475475025181674,0.15784680855289185
Heather Mills,4,6,0.0984169129899351,0.0146789196139041,0.06964623054668306,0.12718759543318714,0.057541364886504076
Billy Ray Cyrus,4,6,0.1499999770215777,0.0279954496213875,0.09512889576365818,0.2048710582794972,0.10974216251583901
Joey Fatone,4,6,0.162587102091236,0.038962515330046,0.08622057204434584,0.23895363213812615,0.1527330600937803
John Ratzenberger,4,7,0.1078439042858104,0.024217833488568,0.06037695064821712,0.15531085792340366,0.09493390727518654
Ian Ziering,4,7,0.1510160798489807,0.0400633627086713,0.07249188893998494,0.22954027075797645,0.15704838181799152
Laila Ali,4,7,0.1965372596822724,0.0492418965005729,0.10002314254114951,0.29305137682339527,0.19302823428224575
Apolo Anton Ohno,4,7,0.1691670465708505,0.0438634339885506,0.08319471595329131,0.2551393771884097,0.17194466123511837
Billy Ray Cyrus,4,7,0.1844485768843576,0.0430868688477474,0.09999831394277268,0.2688988398259425,0.16890052588316978
Joey Fatone,4,7,0.1909871327277282,0.0484382851182756,0.09604809389590802,0.28592617155954836,0.18987807766364034
Ian Ziering,4,8,0.188740408285107,0.0436954095900923,0.10309740548852608,0.2743834110816879,0.17128600559316182
Laila Ali,4,8,0.2340350591097528,0.0579981377128876,0.12035870919249311,0.3477114090270125,0.22735269983451936
Apolo Anton Ohno,4,8,0.198495222344795,0.0461233948228764,0.10809336849195726,0.2888970761976327,0.18080370770567544
Billy Ray Cyrus,4,8,0.149984196026314,0.0317737332268143,0.08770767890175796,0.21226071315087003,0.12455303424911207
Joey Fatone,4,8,0.2287451142340312,0.0552678092540023,0.12042020809618671,0.3370700203718757,0.21664981227568902
Ian Ziering,4,9,0.1631258222956915,0.0345410078017667,0.09542544700422877,0.23082619758715422,0.13540075058292544
Laila Ali,4,9,0.288191778659753,0.0628636052906194,0.16497911229013895,0.411404445029367,0.24642533273922806
Apolo Anton Ohno,4,9,0.263638779979599,0.0589022035945646,0.1481904609342524,0.37908709902494564,0.23089663809069325
Joey Fatone,4,9,0.2850436190649563,0.0629312416928154,0.16169838534703812,0.40838885278287446,0.24669046743583634
Cameron Mathison,5,1,0.0025345673815381,0.15,-0.29146543261846186,0.2965345673815381,0.588
Jane Seymour,5,1,2.856713641614084e-05,0.15,-0.29397143286358385,0.2940285671364161,0.588
Sabrina Bryan,5,1,0.0025606260079385,0.15,-0.2914393739920615,0.2965606260079385,0.588
Jennie Garth,5,1,1.209877528112962e-06,0.15,-0.2939987901224719,0.2940012098775281,0.588
Floyd Mayweather Jr. ,5,1,0.0045478468110101,0.15,-0.28945215318898987,0.2985478468110101,0.588
Josie Maran,5,1,0.1903198458356913,0.15,-0.10368015416430867,0.4843198458356913,0.588
Albert Reed,5,1,0.7961932650787198,0.15,0.5021932650787198,1.0901932650787198,0.5880000000000001
Helio Castroneves,5,1,2.6586223763695428e-05,0.15,-0.2939734137762363,0.29402658622376365,0.588
Mel B,5,1,0.0007181970523768,0.15,-0.2932818029476232,0.2947181970523768,0.588
Wayne Newton,5,1,1.326647832410644e-07,0.15,-0.29399986733521677,0.2940001326647832,0.588
Marie Osmond,5,1,0.0030549451028125,0.15,-0.29094505489718747,0.2970549451028125,0.588
Mark Cuban,5,1,1.4210827421703955e-05,0.15,-0.2939857891725783,0.2940142108274217,0.588
Cameron Mathison,5,2,0.0031303316111954,0.15,-0.29086966838880457,0.2971303316111954,0.588
Jane Seymour,5,2,3.528200150295853e-05,0.15,-0.29396471799849705,0.2940352820015029,0.588
Sabrina Bryan,5,2,0.0031625154633824,0.15,-0.29083748453661756,0.2971625154633824,0.588
Jennie Garth,5,2,1.4942660035451987e-06,0.15,-0.29399850573399644,0.2940014942660035,0.588
Floyd Mayweather Jr. ,5,2,0.0056168436235219,0.15,-0.2883831563764781,0.29961684362352187,0.588
Albert Reed,5,2,0.9833429422516732,0.15,0.6893429422516733,1.277342942251673,0.5879999999999999
Helio Castroneves,5,2,3.283546425950842e-05,0.15,-0.29396716453574046,0.2940328354642595,0.588
Mel B,5,2,0.0008870132838047,0.15,-0.2931129867161953,0.2948870132838047,0.588
Wayne Newton,5,2,1.638483820540113e-07,0.15,-0.29399983615161795,0.294000163848382,0.588
Marie Osmond,5,2,0.0037730270244374,0.15,-0.2902269729755626,0.29777302702443736,0.588
Mark Cuban,5,2,1.755116183670243e-05,0.15,-0.29398244883816327,0.2940175511618367,0.588
Cameron Mathison,5,3,0.1943576140328131,0.0574465245329486,0.08176242594823384,0.30695280211739234,0.2251903761691585
Jane Seymour,5,3,0.0022294524520068,0.0006914237149547,0.000874261970695588,0.0035846429333180117,0.0027103809626224237
Sabrina Bryan,5,3,0.1869784307694407,0.0575350926951786,0.07420964908689065,0.29974721245199076,0.2255375633651001
Jennie Garth,5,3,8.794809964734839e-05,2.7866021814603503e-05,3.333069689072553e-05,0.00014256550240397125,0.00010923480551324572
Floyd Mayweather Jr. ,5,3,0.33499293612859,0.0766230585496311,0.18481174137131304,0.4851741308858669,0.30036238951455385
Helio Castroneves,5,3,0.0019974455639321,0.0006178125825863,0.0007865329020629518,0.003208358225801248,0.0024218253237382964
Mel B,5,3,0.0549107139020281,0.0188973681495131,0.01787187232898242,0.09194955547507377,0.07407768314609135
Wayne Newton,5,3,1.01022929179613e-05,3.3342717741086035e-06,3.567120240708438e-06,1.6637465595214164e-05,1.3070345354505727e-05
Marie Osmond,5,3,0.2233204593881673,0.0578442534485593,0.10994572262899108,0.33669519614734356,0.22674947351835248
Mark Cuban,5,3,0.0011148973704562,0.0003689127227755,0.0003918284338162199,0.00183796630709618,0.0014461378732799602
Cameron Mathison,5,4,0.1879300924889612,0.15,-0.10606990751103879,0.4819300924889612,0.588
Jane Seymour,5,4,0.0021181621084273,0.15,-0.2918818378915727,0.2961181621084273,0.588
Sabrina Bryan,5,4,0.189862256575516,0.15,-0.10413774342448398,0.48386225657551596,0.588
Jennie Garth,5,4,8.970856226382945e-05,0.15,-0.29391029143773617,0.2940897085622638,0.588
Floyd Mayweather Jr. ,5,4,0.3372083449208141,0.15,0.0432083449208141,0.6312083449208141,0.5880000000000001
Helio Castroneves,5,4,0.001971283749344,0.15,-0.29202871625065596,0.295971283749344,0.588
Mel B,5,4,0.0532520222037141,0.15,-0.24074797779628587,0.3472520222037141,0.588
Marie Osmond,5,4,0.2265144418341957,0.15,-0.06748555816580429,0.5205144418341957,0.588
Mark Cuban,5,4,0.0010536875567635,0.15,-0.2929463124432365,0.2950536875567635,0.588
Cameron Mathison,5,5,0.2859021094966179,0.0718319465698179,0.1451114942197748,0.426692724773461,0.2815812305536862
Jane Seymour,5,5,0.0032078971106875,0.0011598506950102,0.000934589748467508,0.005481204472907492,0.004546614724439984
Sabrina Bryan,5,5,0.2803926970319869,0.0717536223102456,0.13975559730390552,0.42102979676006824,0.2812741994561627
Jennie Garth,5,5,0.0001373327247044,4.183951404658826e-05,5.532727717308701e-05,0.000219338172235713,0.00016401089506262598
Helio Castroneves,5,5,0.003105336742941,0.0010591418522378,0.001029418712554912,0.005181254773327088,0.004151836060772176
Mel B,5,5,0.0823800090329762,0.0261343616121724,0.031156660273118288,0.1336033577928341,0.10244669751971583
Marie Osmond,5,5,0.343207419826517,0.0760442853678507,0.19416062050552962,0.49225421914750433,0.2980935986419747
Mark Cuban,5,5,0.0016671980335689,0.0005491089336033,0.0005909445237064321,0.0027434515434313677,0.0021525070197249358
Cameron Mathison,5,6,0.2839947255748075,0.15,-0.0100052744251925,0.5779947255748075,0.588
Jane Seymour,5,6,0.0032009076286764,0.15,-0.29079909237132356,0.2972009076286764,0.588
Sabrina Bryan,5,6,0.2869145581692541,0.15,-0.007085441830745887,0.5809145581692541,0.588
Jennie Garth,5,6,0.000135565082656,0.15,-0.293864434917344,0.294135565082656,0.588
Helio Castroneves,5,6,0.0029789491401325,0.15,-0.29102105085986746,0.2969789491401325,0.588
Mel B,5,6,0.0804729739221284,0.15,-0.21352702607787158,0.3744729739221284,0.588
Marie Osmond,5,6,0.3423023204823448,0.15,0.04830232048234484,0.6363023204823448,0.588
Cameron Mathison,5,7,0.39326736529453,0.0856339071549011,0.22542490727092385,0.5611098233181362,0.33568491604721235
Jane Seymour,5,7,0.0046665813938928,0.0015791926750225,0.0015713637508486997,0.0077617990369368995,0.006190435286088199
Jennie Garth,5,7,0.0002014841341998,7.61835702771172e-05,5.21643364566503e-05,0.0003508039319429497,0.0002986395954862994
Helio Castroneves,5,7,0.0043359123837955,0.0016499147194222,0.0011020795337279878,0.0075697452338630115,0.006467665700135024
Mel B,5,7,0.118831857305316,0.0375212948701877,0.045290119359748096,0.19237359525088388,0.1470834758911358
Marie Osmond,5,7,0.4786967994882662,0.0862318845394333,0.30968230579097694,0.6477112931855555,0.3380289873945786
Cameron Mathison,5,8,0.4000576317584179,0.15,0.10605763175841793,0.694057631758418,0.5880000000000001
Jennie Garth,5,8,0.0001909677928234,0.15,-0.2938090322071766,0.2941909677928234,0.588
Helio Castroneves,5,8,0.0041963854635613,0.15,-0.28980361453643866,0.2981963854635613,0.588
Mel B,5,8,0.1133606523948043,0.15,-0.18063934760519568,0.4073606523948043,0.588
Marie Osmond,5,8,0.4821943625903928,0.15,0.1881943625903928,0.7761943625903928,0.588
Jennie Garth,5,9,0.0003453462790892,0.0001316010407986,8.740823912394398e-05,0.000603284319054456,0.000515876079930512
