Feature,Importance,Imp_Mean,Imp_STD,CI_Lower,CI_Upper
Week_Progress,0.5372041972254471,0.5204367925403116,0.017450952324200967,0.48877283684647854,0.5476796965493376
Age_Squared,0.16860433813217263,0.17516465693841568,0.009767088320863622,0.15707620578751746,0.19300780590987723
Age,0.16760030183403385,0.17278400196739407,0.01023593532259609,0.15455902955206605,0.1917999050265767
Industry_Code,0.10680049239931967,0.11331143253468819,0.00704173220843752,0.1001237019179156,0.12563316175608882
experience_level,0.013927242988402824,0.01281595425398087,0.0030214890737866765,0.007718117735684324,0.019195643588441856
is_allstar,0.005863427420624024,0.005487161765209802,0.0017598022298983074,0.0026470328491535345,0.009656561886456824
